zip,type,state,district,boroughs
68159,1,Baden-Württemberg,Mannheim,Innenstadt (westlicher Teil)|Jungbusch
68161,1,Baden-Württemberg,Mannheim,Innenstadt (östlicher Teil)
68163,1,Baden-Württemberg,Mannheim,Lindenhof|Neuostheim/Neuhermsheim
68165,1,Baden-Württemberg,Mannheim,Schwetzingerstadt/Oststadt
68167,1,Baden-Württemberg,Mannheim,Neckarstadt-Ost/Wohlgelegen
68169,1,Baden-Württemberg,Mannheim,Neckarstadt-West|Herzogenried
68199,1,Baden-Württemberg,Mannheim,Neckarau
68219,1,Baden-Württemberg,Mannheim,Rheinau
68229,1,Baden-Württemberg,Mannheim,Friedrichsfeld
68239,1,Baden-Württemberg,Mannheim,Seckenheim
68259,1,Baden-Württemberg,Mannheim,Feudenheim|Wallstadt
68305,1,Baden-Württemberg,Mannheim,Käfertal (nördlicher Teil)|Waldhof|Gartenstadt
68307,1,Baden-Württemberg,Mannheim,Sandhofen|Schönau
68309,1,Baden-Württemberg,Mannheim,Käfertal (südlicher Teil)|Vogelstang
69115,1,Baden-Württemberg,Heidelberg,Bergheim|Weststadt|Bahnstadt
69117,1,Baden-Württemberg,Heidelberg,Altstadt
69118,1,Baden-Württemberg,Heidelberg,Schlierbach|Ziegelhausen
69120,1,Baden-Württemberg,Heidelberg,Neuenheim
69121,1,Baden-Württemberg,Heidelberg,Handschuhsheim
69123,1,Baden-Württemberg,Heidelberg,Pfaffengrund|Wieblingen
69124,1,Baden-Württemberg,Heidelberg,Kirchheim
69126,1,Baden-Württemberg,Heidelberg,Rohrbach|Südstadt|Boxberg|Emmertsgrund
69412,2,Baden-Württemberg,Rhein-Neckar-Kreis,Eberbach
69214,2,Baden-Württemberg,Rhein-Neckar-Kreis,Eppelheim
69502,2,Baden-Württemberg,Rhein-Neckar-Kreis,Hemsbach
68766,2,Baden-Württemberg,Rhein-Neckar-Kreis,Hockenheim
68526,2,Baden-Württemberg,Rhein-Neckar-Kreis,Ladenburg
